X,A,B,C,D,E,F,G
January,10,9,8,7,6,5,4
February,5,4.5,4,3.5,3,2.5,2
March,7,6,5,4,3,2,2
April,9,7,8,7,6,5,4
May,11,8,4,3.5,3,2.5,2
June,13,9,5,4,3,2,2
July,15,10,8,7,6,5,4
August,17,11,4,3.5,3,2.5,2
September,19,12,5,4,3,2,2
October,21,13,8,7,6,5,4
November,23,14,4,3.5,3,2.5,2
December,25,15,5,4,3,2,2
,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,NA,NA,NA,NA
