,PlanningArea,Subzone,PlanningRegion,Total,young,old,EconomicallyActive,Young,Old,EconomicallyActive,Year
1,Ang Mo Kio,Ang Mo Kio Town Centre,North East Region,4940,1350,720,2870,27.3278799,14.57486928,58.09704839,2017
2,Ang Mo Kio,Cheng San,North East Region,28350,6080,5130,17140,21.44620055,18.09523171,60.45853247,2017
3,Ang Mo Kio,Chong Boon,North East Region,26740,5500,5540,15720,20.55305659,20.70253337,58.74437267,2017
4,Ang Mo Kio,Kebun Bahru,North East Region,22620,4870,4610,13140,21.52961029,20.38018551,58.09016,2017
5,Ang Mo Kio,Sembawang Hills,North East Region,6800,2000,1180,3630,29.3685325,17.32743417,53.30388648,2017
6,Ang Mo Kio,Shangri-La,North East Region,16800,3800,3240,9780,22.59213877,19.26277095,58.14503083,2017
7,Ang Mo Kio,Tagore,North East Region,8130,2230,1210,4680,27.46302037,14.90145948,57.635397,2017
8,Ang Mo Kio,Townsville,North East Region,22690,4910,4660,13140,21.62042201,20.51958586,57.8599481,2017
9,Ang Mo Kio,Yio Chu Kang,North East Region,40,0,0,0,0,0,0,2017
10,Ang Mo Kio,Yio Chu Kang East,North East Region,4030,1100,640,2300,27.22765538,15.84154495,56.93055215,2017
11,Ang Mo Kio,Yio Chu Kang North,North East Region,0,0,0,0,0,0,0,2017
12,Ang Mo Kio,Yio Chu Kang West,North East Region,25690,6470,4060,15160,25.18488704,15.80380856,59.01126547,2017
13,Bedok,Bayshore,East Region,7310,2100,780,4440,28.6884854,10.65572315,60.65565484,2017
14,Bedok,Bedok North,East Region,83810,20080,14510,49230,23.95609354,17.31090225,58.73299228,2017
15,Bedok,Bedok Reservoir,East Region,26190,7370,2970,15850,28.1405009,11.34020186,60.51925906,2017
16,Bedok,Bedok South,East Region,48990,11830,9170,27990,24.14778033,18.71810192,57.13409734,2017
17,Bedok,Frankel,East Region,33900,9320,5240,19340,27.49261726,15.45722258,57.05013066,2017
18,Bedok,Kaki Bukit,East Region,39430,10070,5490,23890,25.52597579,13.91634628,60.55765258,2017
19,Bedok,Kembangan,East Region,38690,8960,6800,22940,23.1524488,17.57105489,59.27647047,2017
20,Bedok,Siglap,East Region,6620,1460,1550,3620,22.02108292,23.37854694,54.60021931,2017
21,Bishan,Bishan East,Central Region,28970,6780,4590,17600,23.40351281,15.84397106,60.75248162,2017
22,Bishan,Marymount,Central Region,30680,8720,3720,18230,28.43168294,12.12911245,59.43917201,2017
23,Bishan,Upper Thomson,Central Region,30630,7670,5440,17540,25.02446166,17.74877072,57.226735,2017
24,Boon Lay,Liu Fang,NA,10,0,0,0,0,0,0,2017
25,Boon Lay,Samulun,NA,20,0,0,0,0,0,0,2017
26,Boon Lay,Shipyard,NA,10,0,0,0,0,0,0,2017
27,Boon Lay,Tukang,NA,10,0,0,0,0,0,0,2017
28,Bukit Batok,Brickworks,West Region,0,0,0,0,0,0,0,2017
29,Bukit Batok,Bukit Batok Central,West Region,25120,6390,3310,15420,25.43788796,13.17674635,61.38532588,2017
30,Bukit Batok,Bukit Batok East,West Region,13820,3250,1850,8740,23.48264199,13.36704236,63.15024339,2017
31,Bukit Batok,Bukit Batok South,West Region,14020,4120,1190,8710,29.38656962,8.487868411,62.12549064,2017
32,Bukit Batok,Bukit Batok West,West Region,15730,4170,1910,9660,26.4929946,12.13468098,61.37226088,2017
33,Bukit Batok,Gombak,West Region,10110,2830,1330,5950,27.99205936,13.15527878,58.85256295,2017
34,Bukit Batok,Guilin,West Region,13290,3590,1550,8180,26.95193172,11.6366279,61.41136531,2017
35,Bukit Batok,Hillview,West Region,18780,5580,2000,11200,29.71244424,10.64962159,59.63788092,2017
36,Bukit Batok,Hong Kah North,West Region,27420,7210,3120,17120,26.2659285,11.36611608,62.36791899,2017
37,Bukit Merah,Alexandra Hill,Central Region,14830,3420,3180,8240,23.04580657,21.42855699,55.52556905,2017
38,Bukit Merah,Alexandra North,Central Region,1060,290,80,670,27.88434727,7.692233729,64.42245748,2017
39,Bukit Merah,Bukit Ho Swee,Central Region,15650,3170,3440,9060,20.22972544,21.952762,57.81744874,2017
40,Bukit Merah,Bukit Merah,Central Region,1150,290,260,640,24.36954311,21.84855589,53.78106066,2017
41,Bukit Merah,City Terminals,Central Region,40,0,0,0,0,0,0,2017
42,Bukit Merah,Depot Road,Central Region,5900,1540,910,3470,26.01346957,15.37159566,58.61476585,2017
43,Bukit Merah,Everton Park,Central Region,8750,1850,1820,5090,21.11869735,20.77623199,58.1049565,2017
44,Bukit Merah,Henderson Hill,Central Region,11870,2640,2710,6530,22.22220352,22.81142861,54.9662837,2017
45,Bukit Merah,Kampong Tiong Bahru,Central Region,9810,1970,2240,5630,20.02030486,22.76420451,57.21538901,2017
46,Bukit Merah,Maritime Square,Central Region,2770,750,220,1810,26.97832022,7.913640598,65.10767947,2017
47,Bukit Merah,Redhill,Central Region,12190,3100,1950,7140,25.43066002,15.9967055,58.57255244,2017
48,Bukit Merah,Singapore General Hospital,Central Region,10,0,0,0,0,0,0,2017
49,Bukit Merah,Telok Blangah Drive,Central Region,16490,3600,3290,9610,21.8181686,19.93938185,58.24238894,2017
50,Bukit Merah,Telok Blangah Rise,Central Region,13080,2640,3020,7420,20.18347081,23.08866736,56.72778538,2017
51,Bukit Merah,Telok Blangah Way,Central Region,10160,2110,2210,5840,20.76769609,21.75194709,57.48025839,2017
52,Bukit Merah,Tiong Bahru,Central Region,12860,2820,2390,7650,21.92844329,18.58474449,59.48673446,2017
53,Bukit Merah,Tiong Bahru Station,Central Region,16200,4060,2690,9440,25.07719266,16.6151843,58.30756127,2017
54,Bukit Panjang,Bangkit,West Region,23240,5960,3110,14180,25.63439758,13.37633833,60.98922108,2017
55,Bukit Panjang,Dairy Farm,West Region,6520,2000,590,3930,30.67479958,9.049065876,60.27598117,2017
56,Bukit Panjang,Fajar,West Region,28770,8990,2610,17180,31.23695926,9.068794625,59.69421136,2017
57,Bukit Panjang,Jelebu,West Region,32130,8920,3720,19500,27.75356946,11.57435856,60.67204086,2017
58,Bukit Panjang,Nature Reserve,West Region,3870,1160,410,2300,29.97408275,10.59428787,59.43137098,2017
59,Bukit Panjang,Saujana,West Region,26390,8350,2050,15980,31.65275525,7.77103572,60.57617112,2017
60,Bukit Panjang,Senja,West Region,21020,6840,1750,12440,32.52494887,8.321441597,59.15356198,2017
61,Bukit Timah,Anak Bukit,Central Region,21970,6080,3420,12480,27.66149788,15.55959256,56.77886407,2017
62,Bukit Timah,Coronation Road,Central Region,6260,1880,1050,3330,30.03190091,16.77313615,53.1948032,2017
63,Bukit Timah,Farrer Court,Central Region,6000,1760,860,3400,29.23583183,14.28569056,56.4783115,2017
64,Bukit Timah,Hillcrest,Central Region,8980,2780,1310,4910,30.88885457,14.55553938,54.55549494,2017
65,Bukit Timah,Holland Road,Central Region,10440,3370,1320,5770,32.21794243,12.6194908,55.16247116,2017
66,Bukit Timah,Leedon Park,Central Region,6400,1730,1000,3650,27.11594496,15.67395662,57.20994168,2017
67,Bukit Timah,Swiss Club,Central Region,5580,1650,830,3110,29.51694183,14.84791619,55.63496309,2017
68,Bukit Timah,Ulu Pandan,Central Region,10750,3030,1790,5930,28.18602029,16.6511473,55.16273938,2017
69,Central Water Catchment,Central Water Catchment,NA,0,0,0,0,0,0,0,2017
70,Changi,Changi Airport,East Region,0,0,0,0,0,0,0,2017
