Type,PEM,Regex,Reflex,NatrlCls
R < I,*u,(*p|*pʰ|*m|*k|*kʰ|*ŋ|*ʔ),u,[Labial|Velar]
R < I,*u,^((?!*p|*pʰ|*m|*k|*kʰ|*ŋ|*ʔ).)+$,io,[Coronal]
R < I,*oi,(*p|*pʰ|*m|*k|*kʰ|*ŋ|*ʔ),uai,[Labial|Velar]
R < I,*oi,^((?!*p|*pʰ|*m|*k|*kʰ|*ŋ|*ʔ).)+$,ai,[Coronal]
R < I,*ou,(*p|*pʰ|*m),uo,[Labial]
R < I,*ou,^((?!*p|*pʰ|*m).)+$,u,[-Labial]
R < I,*uon,(*p|*pʰ|*m|*k|*kʰ|*ŋ|*ʔ),uoŋ,[Labial|Velar]
R < I,*uon,^((?!*p|*pʰ|*m|*k|*kʰ|*ŋ|*ʔ).)+$,ouŋ,[Coronal]
R < I,*ut,(*k|*kʰ|*ŋ|*ʔ),ouʔ,[Velar]
R < I,*ut,^((?!*k|*kʰ|*ŋ|*ʔ).)+$,uʔ,[-Velar]
R < I,*iuok,(*k|*kʰ|*ŋ|*ʔ),uoh,[Velar]
R < I,*iuok,^((?!*k|*kʰ|*ŋ|*ʔ).)+$,ioh,[-Velar]
T < I,*C2,(*pʰ|*tʰ|*tsʰ|*kʰ|*m|*n|*l|*ɲ|*ŋ),C1,[Sonorant|Aspirated]
T < I,*C2,^((?!*pʰ|*tʰ|*tsʰ|*kʰ|*m|*n|*l|*ɲ|*ŋ).)+$,C2,[Obstruent&-Aspirated]
